Zone,Station,Distance,TrainName,TrainType,Direction,TimeString,Time
3,Sunnyvale,38.8,194,Local,Southbound,10:49pm,1369
4,Lawrence,40.8,194,Local,Southbound,10:53pm,1373
4,Santa Clara,44.7,194,Local,Southbound,10:58pm,1378
4,San Jose Diridon,47.5,194,Local,Southbound,11:06pm,1386
4,Tamien,49.1,194,Local,Southbound,11:11pm,1391
1,San Francisco,0.2,196,Local,Southbound,10:40pm,1360
1,22nd Street,1.9,196,Local,Southbound,10:44pm,1364
1,Bayshore,5.2,196,Local,Southbound,10:49pm,1369
1,So. San Francisco,9.3,196,Local,Southbound,10:56pm,1376
1,San Bruno,11.6,196,Local,Southbound,11:00pm,1380
2,Millbrae,13.7,196,Local,Southbound,11:06pm,1386
2,Burlingame,16.3,196,Local,Southbound,11:11pm,1391
2,San Mateo,17.9,196,Local,Southbound,11:14pm,1394
2,Hayward Park,19.1,196,Local,Southbound,11:18pm,1398
2,Hillsdale,20.3,196,Local,Southbound,11:21pm,1401
2,Belmont,21.9,196,Local,Southbound,11:25pm,1405
2,San Carlos,23.2,196,Local,Southbound,11:28pm,1408
2,Redwood City,25.4,196,Local,Southbound,11:33pm,1413
3,Menlo Park,28.9,196,Local,Southbound,11:38pm,1418
3,Palo Alto,30.1,196,Local,Southbound,11:42pm,1422
3,California Ave,31.8,196,Local,Southbound,11:45pm,1425
3,San Antonio,34.1,196,Local,Southbound,11:49pm,1429
3,Mountain View,36.1,196,Local,Southbound,11:54pm,1434
3,Sunnyvale,38.8,196,Local,Southbound,11:59pm,1439
4,Lawrence,40.8,196,Local,Southbound,12:03am,1443
4,Santa Clara,44.7,196,Local,Southbound,12:08am,1448
4,San Jose Diridon,47.5,196,Local,Southbound,12:16am,1456
1,San Francisco,0.2,198,Local,Southbound,12:05am,1445
1,22nd Street,1.9,198,Local,Southbound,12:10am,1450
1,Bayshore,5.2,198,Local,Southbound,12:15am,1455
1,So. San Francisco,9.3,198,Local,Southbound,12:21am,1461
1,San Bruno,11.6,198,Local,Southbound,12:25am,1465
2,Millbrae,13.7,198,Local,Southbound,12:29am,1469
2,Burlingame,16.3,198,Local,Southbound,12:33am,1473
2,San Mateo,17.9,198,Local,Southbound,12:36am,1476
2,Hayward Park,19.1,198,Local,Southbound,12:40am,1480
2,Hillsdale,20.3,198,Local,Southbound,12:43am,1483
2,Belmont,21.9,198,Local,Southbound,12:47am,1487
2,San Carlos,23.2,198,Local,Southbound,12:50am,1490
2,Redwood City,25.4,198,Local,Southbound,12:55am,1495
3,Menlo Park,28.9,198,Local,Southbound,1:00am,1500
3,Palo Alto,30.1,198,Local,Southbound,1:04am,1504
3,California Ave,31.8,198,Local,Southbound,1:07am,1507
3,San Antonio,34.1,198,Local,Southbound,1:11am,1511
3,Mountain View,36.1,198,Local,Southbound,1:16am,1516
3,Sunnyvale,38.8,198,Local,Southbound,1:21am,1521
4,Lawrence,40.8,198,Local,Southbound,1:25am,1525
4,Santa Clara,44.7,198,Local,Southbound,1:30am,1530
4,San Jose Diridon,47.5,198,Local,Southbound,1:38am,1538
