DATE,Avg Temperature,Min Temperature,Max Temperature,Precipitation,Average daily wind speed,Snowfall,Snow Depth
2015-04-19,7.9,3.45,16.5,0.05,3.68,0,0
2015-04-20,6.2,3.44,12.92,3.98,5.56,0,0
2015-04-21,13.1,6.33,15.73,28.28,3.83,0,0
2015-04-22,13.1,3.35,19.88,0.76,5.63,0,0
2015-04-23,8.4,2.93,15.76,0.78,5.95,0,0
2015-04-24,6.1,1.09,10.41,0.02,6.2,0,0
2015-04-25,7.3,0.12,12.1,0,4.22,0,0
2015-04-26,8.6,2.55,13.37,0,2.22,0,0
2015-04-27,10.8,4.63,13.61,0.3,4.53,0,0
2015-04-28,9.5,5.17,15.83,3.47,5.78,0,0
2015-04-29,10.9,7.04,15.74,0.05,3.18,0,0
2015-04-30,9.9,7.14,15.41,0.05,2.93,0,0
2015-05-01,7.4,4.54,14.26,0.02,2.75,0,0
2015-05-02,6.1,2.14,14.77,0,2.33,0,0
2015-05-03,11.8,4.23,19.97,0,2.98,0,0
2015-05-04,17.3,7.69,25.82,0,5.23,0,0
2015-05-05,19.1,11.89,26.9,0.06,3.1,0,0
2015-05-06,16.1,10.1,24.5,0.22,3.2,0,0
2015-05-07,18.3,7.76,26.34,0.01,3.48,0,0
2015-05-08,15.6,8.84,25.75,0,4.52,0,0
2015-05-09,10.8,7.35,23.8,0,3.35,0,0
2015-05-10,21.9,12.55,28.34,0,5.02,0,0
2015-05-11,19.8,14.08,29.6,0.01,3.98,0,0
2015-05-12,14.1,9.51,28.33,1.65,3.73,0,0
2015-05-13,17.7,9.71,24.59,1.45,5.45,0,0
2015-05-14,14.2,4.93,20.58,0,2.9,0,0
2015-05-15,14.9,4.61,22.03,0.01,1.93,0,0
2015-05-16,16.3,9.42,22.04,0.01,3.18,0,0
2015-05-17,16.2,11.27,23.98,0.02,2.87,0,0
2015-05-18,11.7,9.35,22.82,0,3.8,0,0
2015-05-19,13.4,10.16,19,1.18,3.77,0,0
2015-05-20,16.2,10,19.25,3.75,5.67,0,0
2015-05-21,13.7,4.37,19.35,0.09,3.57,0,0
2015-05-22,16.5,8.5,21.72,0.04,4.9,0,0
2015-05-23,13.1,5.39,20.99,0,5.03,0,0
2015-05-24,18.6,7.44,23.75,0,5.27,0,0
2015-05-25,21,11.07,27.61,0.01,4.25,0,0
2015-05-26,22.8,16.14,28.5,0.07,5.83,0,0
2015-05-27,23.5,17.8,29.51,0,6.28,0,0
2015-05-28,23.1,17.02,29.54,0.56,4.98,0,0
2015-05-29,19.6,12.7,27.53,1.17,2.85,0,0
2015-05-30,20.7,13.06,28.84,0,5.73,0,0
2015-05-31,19.6,11.99,27.41,7.25,5.42,0,0
2015-06-01,9,8.33,16.92,25.24,5.52,0,0
2015-06-02,8.5,7.39,9.72,32.6,3.92,0.12,0
2015-06-03,9.9,7.18,12.85,3.71,2.13,0,0
2015-06-04,11.3,7.13,16.85,0.01,2.02,0,0
2015-06-05,12.2,8.41,19.44,0,2.47,0,0
2015-06-06,14.3,9.72,21.07,0.79,2.88,0,0
2015-06-07,15.2,6.55,21.9,0.03,3.38,0,0
2015-06-08,17.3,9.96,23.44,0,6.4,0,0
2015-06-09,20.6,14.84,24.7,0.21,5.08,0,0
2015-06-10,21.9,14.64,26.36,2.25,3.98,0,0
2015-06-11,23.9,16.57,29.42,0.01,5.18,0,0
2015-06-12,23.2,16.03,30.06,0,2.8,0,0
2015-06-13,22.6,17.37,29.15,0.08,3.12,0,0
2015-06-14,21.1,14.88,26.97,0,3.25,0,0
2015-06-15,14.4,12.63,21.9,5.56,3.25,0,0
2015-06-16,15.2,12.74,19.12,8.4,1.87,0,0
2015-06-17,18.8,13.88,22.52,0.17,3.23,0,0
2015-06-18,18.1,11.18,23.71,0.01,3.52,0,0
2015-06-19,20.5,13.22,26.75,0.04,3.77,0,0
2015-06-20,18.2,11.15,26.37,0.11,3.17,0,0
2015-06-21,19.1,14.69,24.34,24.93,2.72,0,0
2015-06-22,18.7,16.87,26.45,14.78,2.3,0,0
2015-06-23,22.2,16.24,29.13,0.49,4.47,0,0
2015-06-24,24.4,16.1,29.12,2.81,3.83,0,0
2015-06-25,22.9,13.92,27.87,0.01,2.33,0,0
2015-06-26,20,14.28,25.44,0.06,2.93,0,0
2015-06-27,17,10.42,23.29,0.69,2.62,0,0
2015-06-28,14.8,11.33,19.61,25.2,6.37,0,0
2015-06-29,15.3,10.9,19.54,11.15,2.35,0,0
2015-06-30,19.9,12.85,24.88,0.13,2.5,0,0
2015-07-01,20.8,16.33,27.17,4.2,4.55,0,0
2015-07-02,22.4,15.61,26.57,11.32,3.35,0,0
2015-07-03,21.6,13.98,26.45,0,2.58,0,0
2015-07-04,19.2,14.09,24.89,0.06,1.42,0,0
2015-07-05,21.4,12.67,26.35,0.35,2.52,0,0
2015-07-06,23.8,15.68,28.95,0,2.22,0,0
2015-07-07,23.3,17.2,29.55,0.18,4.27,0,0
2015-07-08,26.2,19.7,29.85,0.51,3.9,0,0
2015-07-09,20.3,16.79,27.34,2.07,2.95,0,0
2015-07-10,19.4,15.55,26.11,27.08,2.52,0,0
2015-07-11,24.1,14.81,28.67,0.05,2.53,0,0
2015-07-12,26.7,17.47,30.76,0.01,2.82,0,0
2015-07-13,23.7,18.45,29.84,0.01,2.53,0,0
2015-07-14,21.7,16.8,28.18,0.15,3.12,0,0
2015-07-15,23.2,18.29,28.35,3.1,2.7,0,0
2015-07-16,18.5,13.33,26.22,1.39,3.05,0,0
2015-07-17,19.4,11.78,24.92,0,2.68,0,0
2015-07-18,21.2,15.85,25.74,3.08,4.12,0,0
2015-07-19,25.5,19.4,29.03,1.29,3.27,0,0
2015-07-20,28.3,21.25,32.44,0.4,3.12,0,0
2015-07-21,25.4,19.21,31.69,0.01,2.1,0,0
2015-07-22,24.6,17.72,29.75,0.08,3.75,0,0
2015-07-23,23.2,15.01,28.15,0.07,2.78,0,0
2015-07-24,22.3,14.72,27.17,0.11,2.68,0,0
2015-07-25,18.8,14.3,24.12,1.19,2.95,0,0
2015-07-26,20,15.02,24.13,0.47,2.93,0,0
2015-07-27,23.9,17.83,27.72,1.72,2.97,0,0
2015-07-28,24,19.33,29.87,0.88,2.23,0,0
2015-07-29,26.6,18.51,32.39,1.18,2.45,0,0
2015-07-30,28.6,20.11,32.68,0.23,4.6,0,0
2015-07-31,26.4,18.84,31.59,1.89,3.95,0,0
2015-08-01,25.9,16.55,31.09,0.06,3.57,0,0
2015-08-02,25.6,15.56,30.48,0.49,3.78,0,0
2015-08-03,25.7,17.87,31.19,0.01,5,0,0
2015-08-04,24.6,18.84,31.08,3.82,2.93,0,0
2015-08-05,24.1,15.61,29.48,8.28,3.68,0,0
2015-08-06,23.1,13.87,28.06,0,2.9,0,0
2015-08-07,21.3,13.35,26.47,0,2.57,0,0
2015-08-08,19.6,12.92,26.07,0,2.32,0,0
2015-08-09,18.8,14.13,24.61,0,3.2,0,0
2015-08-10,21.3,12.97,26.12,0.01,3.58,0,0
2015-08-11,20.1,15.53,25.65,2.98,3.98,0,0
2015-08-12,23.7,18.06,25.45,13.97,3,0,0
2015-08-13,23,15.41,28.61,0,2.37,0,0
2015-08-14,23.9,13.78,29.18,0,3.1,0,0
2015-08-15,24.4,16.48,30.89,1.61,2.72,0,0
2015-08-16,24.1,17.62,31.7,7.76,2.02,0,0
2015-08-17,26.6,18.82,32.36,0.37,2.28,0,0
2015-08-18,25.8,19.84,33.03,0.64,2.52,0,0
2015-08-19,25.6,20.31,32.49,6.02,3.57,0,0
2015-08-20,22.9,20.32,30.27,0.01,3.62,0,0
2015-08-21,22.1,20.9,29.25,6.15,2.43,0,0
2015-08-22,21.8,19.65,26.5,7.82,2.73,0,0
2015-08-23,20.2,19.1,23.22,1.03,2.77,0,0
2015-08-24,21.4,19.65,25.13,0.73,2.03,0,0
2015-08-25,21.9,18.78,27.73,0.31,2.97,0,0
2015-08-26,24.5,18.99,28.76,0.84,2.77,0,0
2015-08-27,23.3,14.6,27.88,0,3.25,0,0
2015-08-28,21.2,13.03,26.71,0,1.93,0,0
2015-08-29,22.5,12.94,27.03,0,2.42,0,0
2015-08-30,25,15.82,28.93,0,2.73,0,0
2015-08-31,26.7,17.74,30.95,0,3.6,0,0
2015-09-01,24.2,16.98,29.68,0,2.58,0,0
2015-09-02,25,16.39,30.6,0.01,2.68,0,0
2015-09-03,24.7,17.33,31.35,0.18,2.02,0,0
2015-09-04,20.5,15.45,26.87,1.66,3.97,0,0
2015-09-05,18.4,9.93,24.8,0,1.93,0,0
2015-09-06,21.3,11.53,28.52,0.01,2.78,0,0
2015-09-07,25.1,14.13,31.82,0,4.15,0,0
2015-09-08,27.3,18.5,34.15,0.09,2.92,0,0
2015-09-09,26.6,20.46,34.28,0.12,4.63,0,0
2015-09-10,23.1,18.83,29.36,1.72,3.67,0,0
2015-09-11,18.6,15.25,23.58,21.96,3.32,0,0
2015-09-12,18.7,12.89,23.85,0.83,2.03,0,0
2015-09-13,17.9,15.23,22.33,2.94,3.2,0,0
2015-09-14,18.2,12.25,21.37,4.37,5.32,0,0
2015-09-15,21.4,12.69,24.89,0.05,3.53,0,0
2015-09-16,22.7,13.43,28.47,0,1.87,0,0
2015-09-17,24.2,14.01,30.31,0,2.35,0,0
2015-09-18,23.8,14.15,30.63,0,2.58,0,0
2015-09-19,21.1,14.58,28.89,0.01,3.35,0,0
2015-09-20,21.7,14.3,25.58,0,4.2,0,0
2015-09-21,15.8,9.11,21.37,0.01,3.73,0,0
2015-09-22,17.3,9.96,20.29,0,2.82,0,0
2015-09-23,16.1,8.35,21.73,0,1.65,0,0
2015-09-24,18.1,8.69,22.97,0,2.77,0,0
2015-09-25,16.3,8.33,21.4,0,2.58,0,0
2015-09-26,14.3,6.33,19.05,0,2.93,0,0
2015-09-27,13.5,3,20.04,0,1.75,0,0
2015-09-28,18.4,6.83,24.38,0,2.68,0,0
2015-09-29,22.1,13.4,27.33,0.19,3.85,0,0
2015-09-30,21.5,15.82,26.51,27.23,5.27,0,0
2015-10-01,14.3,10.58,20.86,49.21,5.87,8.18,0
2015-10-02,11.4,9.09,13.7,2.33,6.43,0,0
2015-10-03,11.1,8.35,11.69,4.57,7.13,0,0
2015-10-04,12,7.9,12.76,0.96,5.63,0,0
2015-10-05,12.1,6.58,14.73,0.01,2.83,0,0
2015-10-06,12.9,4.63,17.97,0,1.63,0,0
2015-10-07,15.6,5.77,20.82,0,2.25,0,0
2015-10-08,14.6,7.1,19.48,0,2.57,0,0
2015-10-09,15.6,7.35,19.95,0.81,4.82,0,0
2015-10-10,13.7,6.32,18.4,4.78,3.4,0,0
2015-10-11,13.6,5.31,17.83,0.01,4.33,0,0
2015-10-12,16.5,6.92,22.56,0.03,2.62,0,0
2015-10-13,16.3,9.01,23.35,1.37,2.73,0,0
2015-10-14,17.2,9.55,20.44,3,4.4,0,0
2015-10-15,12.4,3.63,18.13,0,2.78,0,0
2015-10-16,12.7,4.33,16.39,0.05,3.87,0,0
2015-10-17,10.5,2.06,14.52,0.18,4.33,0,0
2015-10-18,4.8,-1.96,10.78,0.02,3.87,0,0
2015-10-19,3.5,-3.52,8.18,0.03,3.72,0,0
2015-10-20,11.9,1.23,14.18,0.54,4.1,0,0
2015-10-21,14.2,8.66,17.27,0.16,1.98,0,0
2015-10-22,15.7,9.53,19.4,0.43,4.08,0,0
2015-10-23,12.1,4.53,18.29,0.05,4.72,0,0
2015-10-24,6.2,0.83,9.67,0,1.75,0,0
2015-10-25,12,3.86,13.81,0.67,4.4,0,0
2015-10-26,9.4,1.56,14.55,0.75,2.45,0,0
2015-10-27,7.6,-2.16,13.09,0.03,1.43,0,0
2015-10-28,9.7,0,15.38,2.23,5.57,0,0
2015-10-29,19.2,7.48,21.8,36.49,6.65,0,0
2015-10-30,13.3,5.36,20.19,0.92,4.87,0,0
2015-10-31,7.4,-1.47,14.23,0,2.18,0,0
2015-11-01,11.6,3.79,14.88,0.18,4.13,0,0
2015-11-02,13.8,6.23,16.95,0.01,2.48,0,0
2015-11-03,14.1,3.1,20.24,0,2.57,0,0
2015-11-04,13.9,4.3,20.48,0,2.05,0,0
2015-11-05,16,6.98,21.29,0.01,4.3,0,0
2015-11-06,19.3,12.52,23.22,0.19,5.35,0,0
2015-11-07,16.8,10.9,20.93,0.03,4.97,0,0
2015-11-08,10.6,3.06,14.77,0,4.03,0,0
2015-11-09,10.3,-0.34,14.4,0,2.77,0,0
2015-11-10,9.6,1.84,13.73,0.28,2.77,0,0
2015-11-11,9.1,5.47,11.5,8.37,5.57,0,0
2015-11-12,8.6,6.79,10.6,4.3,2.65,0,0
2015-11-13,12.4,6.87,14.15,2.69,6.53,0,0
2015-11-14,7.1,2.06,11.67,0.18,6.3,0,0
2015-11-15,5.9,-1.42,10.6,0,3.6,0,0
2015-11-16,11.4,0.33,13.73,0,3.53,0,0
2015-11-17,4.7,-2.67,12.1,0,1.88,0,0
2015-11-18,4.4,-5.13,9.54,0,1.88,0,0
2015-11-19,8.4,-1.12,11.8,0.02,4.02,0,0
2015-11-20,13.3,5.21,14.9,26.49,4.87,0,0
2015-11-21,6.6,0.07,12.55,0.87,2.42,0,0
2015-11-22,5.9,-0.76,8.56,1.06,2.43,0,0
2015-11-23,4.2,-0.95,6.74,7.18,5.05,0,0
2015-11-24,1.7,-6.22,5.89,0,2.62,0,0
2015-11-25,3.7,-5.79,7.3,0,1.7,0,0
2015-11-26,7.9,-2.55,11.67,0,3.78,0,0
2015-11-27,12.1,5.33,16.3,0.35,5.75,0,0
2015-11-28,11.3,5.11,15.77,1.31,3.18,0,0
2015-11-29,3.6,-2.08,8.92,5.13,3.17,0,0
2015-11-30,0.8,-3.23,5.57,0.01,2.57,0,0
2015-12-01,3.2,-4.61,4.86,0.47,1.88,0,0
2015-12-02,6.1,0.05,7.42,5.22,1.65,0,0
2015-12-03,9,3.35,10.28,4.85,5.27,0,0
2015-12-04,5.9,-1.2,9.02,0.14,3.63,0,0
2015-12-05,6.9,-1.63,10.31,0,2.15,0,0
2015-12-06,6.8,-2.6,12.85,0,2.55,0,0
2015-12-07,7.4,-1.3,13.81,0,2.5,0,0
2015-12-08,5.6,0.72,10.35,0.01,3.65,0,0
