source_id,target_id,Source,Target,Region,Amount
TUR,USA,Turkey,United States,Europe,1244569.7
TKM,CHN,Turkmenistan,China,Central and Northern Asia,5480969.4
UKR,CHN,Ukraine,China,Central and Northern Asia,2269322.5
UKR,ITA,Ukraine,Italy,Central and Northern Asia,1177175.0
UKR,IND,Ukraine,India,Central and Northern Asia,1640483.9
UKR,TUR,Ukraine,Turkey,Central and Northern Asia,1214469.5
UKR,EGY,Ukraine,Egypt,Central and Northern Asia,1075731.4
EGY,ARE,Egypt,United Arab Emirates,Middle East and North Africa,1462441.6
GBR,BEL,United Kingdom,Belgium,Europe,2818174.1
GBR,CHN,United Kingdom,China,Europe,3139672.9
GBR,FRA,United Kingdom,France,Europe,2900159.2
GBR,DEU,United Kingdom,Germany,Europe,4953884.6
GBR,IRL,United Kingdom,Ireland,Europe,3817908.5
GBR,ISR,United Kingdom,Israel,Europe,1156021.7
GBR,KOR,United Kingdom,"Korea, Rep.",Europe,1059171.9
GBR,NLD,United Kingdom,Netherlands,Europe,8117256.4
GBR,IND,United Kingdom,India,Europe,1040524.7
GBR,ESP,United Kingdom,Spain,Europe,1106401.0
GBR,CHE,United Kingdom,Switzerland,Europe,11261435.9
GBR,USA,United Kingdom,United States,Europe,4296763.7
USA,ARG,United States,Argentina,North America,1266126.3
USA,BRA,United States,Brazil,North America,4604665.9
USA,CAN,United States,Canada,North America,41837516.2
USA,CHL,United States,Chile,North America,3128334.7
USA,CHN,United States,China,North America,36957970.5
USA,COL,United States,Colombia,North America,5136203.5
USA,CRI,United States,Costa Rica,North America,1139034.6
USA,DOM,United States,Dominican Rep.,North America,2380053.4
USA,ECU,United States,Ecuador,North America,2163066.5
USA,FRA,United States,France,North America,2416457.8
USA,DEU,United States,Germany,North America,4966405.3
USA,GIB,United States,Gibraltar,North America,1203365.7
USA,GTM,United States,Guatemala,North America,1845774.9
USA,HND,United States,Honduras,North America,1012954.8
USA,HKG,United States,"China, Hong Kong SAR",North America,6059394.6
USA,IDN,United States,Indonesia,North America,2215474.7
USA,ITA,United States,Italy,North America,2142161.5
USA,JPN,United States,Japan,North America,16188668.0
USA,KOR,United States,"Korea, Rep.",North America,9098681.7
USA,MEX,United States,Mexico,North America,45703031.7
USA,NLD,United States,Netherlands,North America,5396149.5
USA,PAN,United States,Panama,North America,1742558.4
USA,PER,United States,Peru,North America,3083470.5
USA,PHL,United States,Philippines,North America,1917336.2
USA,IND,United States,India,North America,5136466.2
USA,SGP,United States,Singapore,North America,1813845.8
USA,VNM,United States,Vietnam,North America,3772664.3
USA,ESP,United States,Spain,North America,1585912.3
USA,CHE,United States,Switzerland,North America,7897417.9
USA,THA,United States,Thailand,North America,1504500.6
USA,TUR,United States,Turkey,North America,1185896.8
USA,GBR,United States,United Kingdom,North America,7074734.2
USA,VEN,United States,Venezuela,North America,1682963.1
BFA,CHE,Burkina Faso,Switzerland,Sub-Saharan Africa,1212648.2
URY,CHN,Uruguay,China,South America,1175262.9
UZB,CHE,Uzbekistan,Switzerland,Central and Northern Asia,2861265.2
VEN,CHN,Venezuela,China,South America,5169054.4
VEN,IND,Venezuela,India,South America,5071877.7
VEN,SGP,Venezuela,Singapore,South America,1139253.5
VEN,CHE,Venezuela,Switzerland,South America,2908300.5
VEN,USA,Venezuela,United States,South America,10924051.9
ZMB,CHN,Zambia,China,Sub-Saharan Africa,2025854.9
