Year,State,MapX,MapY,Polio Cases
* type:string,*,"* order: A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10","* order: B00,B01,B02,B03,B04,B05,B06,B07",*
1958,South Dakota,A03,B04,2.11
1958,Tennessee,A05,B02,3.83
1958,Texas,A03,B00,6.61
1958,Utah,A01,B03,1.44
1958,Vermont,A09,B06,1.84
1958,Virginia,A07,B03,4.23
1958,Washington,A00,B05,1.21
1958,West Virginia,A06,B03,11.08
1958,Wisconsin,A05,B06,1.66
1958,Wyoming,A02,B04,4.14
1959,Alabama,A06,B01,4.79
1959,Alaska,A00,B07,8.94
1959,Arizona,A01,B02,4.96
1959,Arkansas,A04,B02,10.98
1959,California,A00,B03,2.24
1959,Colorado,A02,B03,1.08
1959,Connecticut,A09,B04,2.39
1959,Delaware,A09,B03,1.83
1959,District Of Columbia,A08,B02,0.52
1959,Florida,A08,B00,3.16
1959,Georgia,A07,B01,2.70
1959,Hawaii,A00,B00,0.80
1959,Idaho,A01,B05,1.20
1959,Illinois,A05,B05,2.13
1959,Indiana,A05,B04,2.05
1959,Iowa,A04,B04,10.45
1959,Kansas,A03,B02,5.33
1959,Kentucky,A05,B03,2.48
1959,Louisiana,A04,B01,3.27
1959,Maine,A10,B07,4.79
1959,Maryland,A08,B03,0.80
1959,Massachusetts,A09,B05,1.60
1959,Michigan,A06,B05,3.52
1959,Minnesota,A04,B05,4.11
1959,Mississippi,A05,B01,4.07
1959,Missouri,A04,B03,7.13
1959,Montana,A02,B05,1.50
1959,Nebraska,A03,B03,6.70
1959,Nevada,A01,B04,2.52
1959,New Hampshire,A10,B06,0.34
1959,New Jersey,A08,B04,1.12
1959,New Mexico,A02,B02,3.74
1959,New York,A08,B05,2.11
1959,North Carolina,A06,B02,4.25
1959,North Dakota,A03,B05,2.27
1959,Ohio,A06,B04,1.76
1959,Oklahoma,A03,B01,4.73
1959,Oregon,A00,B04,6.77
1959,Pennsylvania,A07,B04,1.20
1959,Rhode Island,A10,B04,0.81
1959,South Carolina,A07,B02,2.53
1959,South Dakota,A03,B04,1.65
1959,Tennessee,A05,B02,6.09
1959,Texas,A03,B00,4.00
1959,Utah,A01,B03,0.89
1959,Vermont,A09,B06,1.82
1959,Virginia,A07,B03,4.89
1959,Washington,A00,B05,5.64
1959,West Virginia,A06,B03,6.40
1959,Wisconsin,A05,B06,1.02
1959,Wyoming,A02,B04,0.62
