DATE,Avg Temperature,Min Temperature,Max Temperature,Precipitation,Average daily wind speed,Snowfall,Snow Depth
2017-01-01,1.6,-2.1,2.8,10.9,4.3,76,50
2017-01-02,-0.1,-3.2,1.1,0,4.7,0,50
2017-01-03,-2.5,-6,0.6,0,5.3,0,50
2017-01-04,-2.6,-5.5,2.2,0,4.9,0,30
2017-01-05,-2.4,-6,1.7,0,2.6,0,0
2017-01-06,-1.7,-6.6,4.4,0,2.8,0,0
2017-01-07,0.3,-1.6,2.8,0,6,0,0
2017-01-08,2.9,1.7,7.2,11.4,5.3,0,0
2017-01-09,3.7,1.1,5.6,1.3,3.5,0,0
2017-01-10,2.7,0,4.4,1.8,6.1,0,0
2017-01-11,0.1,-2.1,1.1,0,5.4,0,0
2017-01-12,-0.7,-3.8,4.4,0,2.7,0,0
2017-01-13,-0.6,-3.8,2.8,0,2.7,0,0
2017-01-14,0.9,-3.2,6.7,0,2.2,0,0
2017-01-15,1.3,-2.7,6.1,0,1.4,0,0
2017-01-16,2.4,-1,7.2,0,1.8,0,0
2017-01-17,5.9,3.9,9.4,44.2,2.1,0,0
2017-01-18,8,6.7,11.7,30.7,4.8,0,0
2017-01-19,8,5,10,2.3,4.4,0,0
2017-01-20,7.6,2.8,11.1,0,4.2,0,0
2017-01-21,7.3,4.4,12.2,1.3,1.8,0,0
2017-01-22,7,2.8,9.4,2,3.9,0,0
2017-01-23,4.9,1.1,8.9,0,2.2,0,0
2017-01-24,2.8,-0.5,6.1,0,1.1,0,0
2017-01-25,3.6,1.7,6.7,0,1.2,0,0
2017-01-26,6,5,8.3,0,1.3,0,0
2017-01-27,6.8,2.8,12.2,0,2.6,0,0
2017-01-28,7,2.8,11.1,0,2.4,0,0
2017-01-29,6.3,2.8,8.9,0.8,3.7,0,0
2017-01-30,6.8,4.4,7.2,0.5,4.1,0,0
2017-01-31,4.8,1.1,6.7,0,5,0,0
2017-02-01,2.2,-1.6,6.1,0,6.9,0,0
2017-02-02,3.1,0,6.7,0.3,6.2,0,0
2017-02-03,2.7,1.1,4.4,17.8,3.8,0,0
2017-02-04,4.8,2.8,7.8,23.9,3.9,0,0
2017-02-05,3.9,0.6,5,20.8,4.9,51,0
2017-02-06,0.6,-1,2.8,16.5,4.2,130,100
2017-02-07,1.7,-1,3.3,0.3,3.2,0,100
2017-02-08,2.2,1.1,4.4,17.8,2.9,0,50
2017-02-09,6.9,3.9,13.3,41.4,5.9,0,0
2017-02-10,8.1,3.9,8.9,0.5,7.7,0,0
2017-02-11,5.1,3.3,9.4,0,3.5,0,0
2017-02-12,4.9,1.1,10.6,0,2.5,0,0
2017-02-13,5.7,1.7,13.9,0,3.7,0,0
2017-02-14,7.3,2.2,14.4,5.8,1.8,0,0
2017-02-15,9.4,7.2,12.2,41.4,3.5,0,0
2017-02-16,10.4,7.8,11.7,12.7,4.7,0,0
2017-02-17,8.8,5.6,13.3,0.3,4.4,0,0
2017-02-18,6.9,5.6,7.2,3.8,3.7,0,0
2017-02-19,6.6,4.4,8.3,1.5,3.8,0,0
2017-02-20,6.3,4.4,7.2,5.1,3,0,0
2017-02-21,6.3,3.9,8.9,1.8,3.3,0,0
2017-02-22,4.9,1.7,7.8,0,2.2,0,0
2017-02-23,3.4,1.1,6.7,0.3,1.7,0,0
2017-02-24,3,0,8.3,0,1.8,0,0
2017-02-25,3.7,0,6.7,0.3,3.2,0,0
2017-02-26,3.8,1.7,5,8.4,3.3,0,0
2017-02-27,3.3,0.6,5,4.1,3.8,3,0
2017-02-28,2.7,0.6,8.3,0.3,3.9,0,0
2017-03-01,6.4,5,9.4,0.5,6.2,0,0
2017-03-02,6.9,5,8.3,2.3,4.7,0,0
2017-03-03,8.1,3.9,10.6,9.1,6.3,0,0
2017-03-04,4.9,1.1,7.8,1,3.4,0,0
2017-03-05,4.4,1.1,7.2,0,6,0,0
2017-03-06,3.3,1.7,6.1,0,6,0,0
2017-03-07,2.8,1.7,5.6,19.1,3.9,0,0
2017-03-08,4.8,2.8,6.1,3.3,4.8,0,0
2017-03-09,4.1,3.9,9.4,17.8,2.7,0,0
2017-03-10,8.7,6.7,11.1,0.8,5.6,0,0
